ID,Kategorie,Modell,Rolle,Parametername,Einheit,Erfassungsart,Methode,Formel_falls_berechnet,Plausibler_Wertebereich,Quelle,Datenverfuegbarkeit_UNICOR,Aufnahme_PoC,Begruendung_Entscheidung
XA011,Abgeleitete Groesse,A,X,Duesenaustrittsgeschwindigkeit vD,m/min,berechnet,Formel-abgeleitet,vD = m_dot / (rho * A_Duese),,ChatGPT-Dokument 2,abgeleitet aus XA002,Ja,Zwischengroesse fuer AZW-Berechnung
YA001,Qualitaet Geometrie,A,Y,Wandstaerke (mittel),mm,direkt gemessen,Ultraschall (Inline),,1.0-4.0,eigene Herleitung + NDT.net Wanddickenmessung,vermutlich nicht vorhanden als Messwert (nur Sollwert dokumentiert),Ja,Kern-Qualitaetsmerkmal
YA002,Qualitaet Geometrie,A,Y,Wandstaerken-Exzentrizitaet,mm,berechnet,Formel-abgeleitet (aus Ultraschall Umfangsmessung),,0-0.5,ChatGPT-Dokument 2,vermutlich nicht vorhanden,Bonus,"praezisere Groesse als reine Ovalitaet, aber zusaetzlicher Messaufwand"
YA003,Qualitaet Geometrie,A,Y,Aussendurchmesser,mm,direkt gemessen,Laser,,20-250,eigene Herleitung,vermutlich vorhanden (Stichprobenmessung),Ja,Kern-Qualitaetsmerkmal
YA004,Qualitaet Geometrie,A,Y,Ovalitaet,mm oder %,berechnet,Formel-abgeleitet (Dmax-Dmin),,0-5%,eigene Herleitung,vermutlich vorhanden,Ja,haeufigster genannter Fehlertyp
YA005,Qualitaet Geometrie,A,Y,Wellhoehe (Ist),mm,direkt gemessen,visuell/Lehre,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden (Gutteil-Pruefung),Ja,wellrohrspezifisches Qualitaetsmerkmal
YA006,Qualitaet Geometrie,A,Y,Wellteilung (Ist),mm,direkt gemessen,visuell/Lehre,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden,Ja,wellrohrspezifisches Qualitaetsmerkmal
YA007,Qualitaet Oberflaeche,A,Y,Oberflaechenfehler (Einfallstellen/Riefen),kategorisch/Score,direkt gemessen,visuell/Kamera,,IO/NIO oder Score 1-5,eigene Herleitung + ChatGPT-Dokument 1,vermutlich nur visuell durch Mitarbeiter dokumentiert,Ja,haeufig genannter Fehlertyp
YA008,Qualitaet Oberflaeche,A,Y,Bindenaehte sichtbar,kategorisch,direkt gemessen,visuell,,Ja/Nein,Websuche (roymaplast.com Duesenstroemung),vermutlich nur bei Reklamation dokumentiert,Ja,strukturell bedingter Fehlermechanismus (Dornstege)
YA009,Qualitaet Struktur,A,Y,Blasenbildung,kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,typischer Feuchtigkeits-/Prozessfehler
YA010,Qualitaet Struktur,A,Y,Risse/Spannungsrisse,kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,sicherheitsrelevanter Fehlertyp
YA011,Qualitaet Struktur,A,Y,Delamination (nur doppelwandig),kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,relevant fuer Wandtyp=doppelwandig
YA012,Qualitaet Gesamt,A,Y,IO/NIO Klassifikation,binaer,abgeleitet,aggregiert aus YA001-YA011 + Toleranzfenster,,IO/NIO,eigene Herleitung,muss aus Einzelmerkmalen abgeleitet werden,Ja,zentrale Zielgroesse fuer Modell-A-Filterfunktion
XB001,Auftragsvorgabe,B,X,Durchmesser (Soll),mm,direkt gemessen,Bestellangabe,,20-250,eigene Herleitung,vermutlich vorhanden (Auftragsdaten),Ja,Kern-Auftragsparameter
XB002,Auftragsvorgabe,B,X,Wandstaerke (Soll),mm,direkt gemessen,Bestellangabe,,1.0-4.0,eigene Herleitung,vermutlich vorhanden,Ja,Kern-Auftragsparameter
XB003,Auftragsvorgabe,B,X,Wellhoehe (Soll),mm,direkt gemessen,Bestellangabe/Norm,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden ueber Norm/Zeichnung,Ja,wellrohrspezifisch
XB004,Auftragsvorgabe,B,X,Wellteilung (Soll),mm,direkt gemessen,Bestellangabe/Norm,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden,Ja,wellrohrspezifisch
XB005,Auftragsvorgabe,B,X,Wandtyp,kategorisch,direkt gemessen,Bestellangabe,,einwandig/doppelwandig,eigene Herleitung + UNICOR Produktdaten,vermutlich vorhanden,Ja,bestimmt Prozessfuehrung deutlich
XB006,Auftragsvorgabe,B,X,Material,kategorisch,direkt gemessen,Bestellangabe,,HDPE (Referenz),eigene Herleitung,vermutlich vorhanden,Ja,als Konstante fixiert (ein Material Annahme)
XB007,Auftragsvorgabe,B,X,MFR Charge,g/10min,direkt gemessen,Laborwert,,0.3-1.2,eigene Herleitung,unbekannt - zu klaeren,Ja,Chargenschwankung trotz gleichem Material
XB008,Auftragsvorgabe,B,X,Muffe,kategorisch,direkt gemessen,Bestellangabe,,Ja/Nein,eigene Herleitung,vermutlich vorhanden,Ja,beeinflusst Linienkonfiguration
XB009,Auftragsvorgabe,B,X,Farbe/Additiv,kategorisch,direkt gemessen,Bestellangabe,,Standard/Sonderfarbe,eigene Herleitung,vermutlich vorhanden,Ja,kann Fliessverhalten leicht beeinflussen
XB010,Auftragsvorgabe,B,X,Rezyklatanteil (Vorgabe),%,direkt gemessen,Bestellangabe,,0-30,eigene Herleitung,vermutlich vorhanden,Ja,"kundenspezifische Vorgabe, beeinflusst Prozessfuehrung"
XB011,Auftragsvorgabe,B,X,Anwendungsbereich,kategorisch,direkt gemessen,Bestellangabe,,Kabelschutz/Drainage/Automotive,eigene Herleitung,vermutlich vorhanden,Ja,indirekter Hinweis auf geforderte Ringsteifigkeit
XB012,Auftragsvorgabe,B,X,Ausstossmenge (Vorgabe),m/min oder kg,direkt gemessen,Bestellangabe,,variabel,eigene Herleitung,vermutlich vorhanden,Bonus,relevant fuer Bonus-Modell Durchsatzoptimierung
YB001,Empfohlene Einstellung,B,Y,Schneckendrehzahl,rpm,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,10-80,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB002,Empfohlene Einstellung,B,Y,Massedurchsatz,kg/h,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,5-150,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB003,Empfohlene Einstellung,B,Y,Massetemperatur,C,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,180-230,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB004,Empfohlene Einstellung,B,Y,Massedruck,bar,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,50-300,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB005,Empfohlene Einstellung,B,Y,Duesenspalt,mm,direkt gemessen (Experte),manuelle Messung/Feilung,,0.5-6,eigene Herleitung + Patent DE3816273C3,vermutlich vorhanden (grober Wert),Ja,zentrale Feinkorrektur-Stellgroesse laut Recherche
YB006,Empfohlene Einstellung,B,Y,Abzugsgeschwindigkeit,m/min,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,0.5-15,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB007,Empfohlene Einstellung,B,Y,Kalibrierdruck (Formluft/Vakuum),"mbar (positiv=Formluft-Ueberdruck, negativ=Vakuum)",direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,"20 bis 400 (Formluft, DN<=200) / -900 bis -100 (Vakuum, DN>200)","Wikipedia Corrugator (Kunststoffverarbeitung) + DeWiki Corrugator - Mechanismus quellenbasiert, Betraege weiterhin Annahme",vermutlich vorhanden,Ja,"KORRIGIERT (Root-Cause-Fix): siehe XA007, gleiche Korrektur auf Modell-B-Zielgroesse uebertragen"
YB008,Empfohlene Einstellung,B,Y,Kuehlwassertemperatur,C,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,8-25,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert (evtl. eher Praeferenz als strenge Physik)
CN001,Maschinenparameter,Nein,X,Zylindertemperatur Zone 1-N (einzeln),C,direkt gemessen,SPS-Sensor,,180-230 je Zone,ChatGPT-Dokument 1,vermutlich nicht einzeln dokumentiert,Nein,zu granular fuer Ruestprotokoll-Datenlage; aggregierte Massetemperatur ausreichend fuer PoC
CN002,Maschinenparameter,Nein,X,Werkzeugtemperatur (separat von Massetemperatur),C,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,redundant zu Massetemperatur fuer PoC-Zweck
CN003,Maschinenparameter,Nein,X,Druck vor Siebwechsler,bar,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"Predictive-Maintenance-Groesse, ausserhalb Scope Wissens-Digitalisierung"
CN004,Maschinenparameter,Nein,X,Druck nach Siebwechsler,bar,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,siehe CN003
CN005,Maschinenparameter,Nein,X,Siebverschmutzung (Delta p),bar,berechnet,Formel-abgeleitet,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"Predictive-Maintenance-Groesse, nicht Kernaufgabe"
CN006,Maschinenparameter,Nein,X,Motorleistung,kW,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht in Ruestprotokoll,Nein,indirekt ueber Drehzahl/Drehmoment abgedeckt; Bonus fuer Energiemodell
CN007,Maschinenparameter,Nein,X,Motorstrom,A,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,siehe CN006
CN008,Maschinenparameter,Bonus,X,Schneckendrehmoment,% oder Nm,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Bonus,"interessant fuer Materialschaedigungs-Trade-off (Websuche extrusion-training.de), aber nicht Kern-PoC"
CN009,Beschickung,Nein,X,Dosiergeschwindigkeit,kg/h,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht separat dokumentiert,Nein,redundant zu Massedurchsatz fuer PoC
CN010,Beschickung,Nein,X,Hopperfuellstand,%,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,keine Qualitaetsrelevanz erkennbar
CN011,Beschickung,Nein,X,Trocknerparameter (Taupunkt),C,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"nur relevant bei hygroskopischen Materialien, HDPE unkritisch"
CN012,Materialparameter,Nein,X,Feuchtigkeit,%,direkt gemessen,Laborwert,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"HDPE wenig feuchtigkeitsempfindlich, geringe Prioritaet fuer PoC"
CN013,Materialparameter,Nein,X,Additivanteil,%,direkt gemessen,Bestellangabe,,,ChatGPT-Dokument 1,vermutlich nicht separat dokumentiert,Nein,ueber XB009 Farbe/Additiv kategorisch abgedeckt
CN014,Materialparameter,Nein,X,Farbmasterbatch,%,direkt gemessen,Bestellangabe,,,ChatGPT-Dokument 1,vermutlich nicht separat dokumentiert,Nein,siehe CN013
CN015,Qualitaet,Nein,Y,Gewicht pro Meter,kg/m,direkt gemessen,Waage,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,redundant zu Wandstaerke+Durchmesser (Massenerhaltung)
CN016,Qualitaet,Nein,Y,Dichte des Produkts,g/cm3,direkt gemessen,Laborwert,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"Materialkonstante, kaum prozessabhaengig bei fixem Material"
CN017,Qualitaet,Nein,Y,Schmelzehomogenitaet,indirekt,direkt gemessen,indirekt/Labor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"schwer messbar, keine Standardmethode angegeben"
CN018,Prozessleistung,Bonus,Y,Durchsatz,kg/h,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich vorhanden,Bonus,fuer Bonus-Modell Durchsatzoptimierung vorgesehen
CN019,Prozessleistung,Nein,Y,Gutteilquote,%,berechnet,aggregiert aus IO/NIO,,,ChatGPT-Dokument 1,muesste ueber Zeit aggregiert werden,Nein,"setzt Zeitreihen-Betrachtung voraus, nicht PoC-Scope"
CN020,Prozessleistung,Nein,Y,Anfahrzeit,min,direkt gemessen,Zeiterfassung,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"interessant fuer spaeteren Wirtschaftlichkeitsnachweis (Phase I), nicht Modell-Y"
CN021,Energie,Bonus,Y,spezifischer Energieverbrauch,kWh/kg,berechnet,Formel-abgeleitet aus Motorleistung/Durchsatz,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Bonus,fuer Bonus-Modell Energieoptimierung vorgesehen
CN022,Energie,Nein,Y,Heizenergie,kWh,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,nur relevant falls Bonus Energiemodell vertieft wird
CN023,Maschinenzustand,Nein,Y,Schneckenverschleiss,Score/Zeit,indirekt,Wartungsprotokoll,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,"Predictive-Maintenance-Scope, ausserhalb Wissens-Digitalisierung"
CN024,Maschinenzustand,Nein,Y,Zylinderverschleiss,Score/Zeit,indirekt,Wartungsprotokoll,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,siehe CN023
CN025,Maschinenzustand,Nein,Y,Heizbanddefekte,kategorisch,direkt gemessen,Wartungsprotokoll,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Nein,siehe CN023
CN026,Dynamische Merkmale,Nein,X,Mittelwert letzte 10-300s (je Groesse),variabel,berechnet,gleitender Mittelwert,,,ChatGPT-Dokument 1,setzt kontinuierliches SPS-Logging voraus - nicht angenommen,Nein,"widerspricht Grundannahme ""ein Rueststand = ein Datensatz"" (Konflikt Nr.1)"
CN027,Dynamische Merkmale,Nein,X,Standardabweichung (Zeitfenster),variabel,berechnet,gleitende Std,,,ChatGPT-Dokument 1,setzt kontinuierliches SPS-Logging voraus,Nein,siehe CN026
CN028,Dynamische Merkmale,Nein,X,Trend/Gradient (Zeitfenster),variabel,berechnet,lineare Regression im Zeitfenster,,,ChatGPT-Dokument 1,setzt kontinuierliches SPS-Logging voraus,Nein,siehe CN026
CN029,Dynamische Merkmale,Nein,X,Frequenzanteile (FFT),variabel,berechnet,Fourier-Transformation,,,ChatGPT-Dokument 1,setzt hochfrequentes Logging voraus,Nein,"siehe CN026, zusaetzlich hoher Analyseaufwand ohne Datenbasis"
CN030,Dynamische Merkmale,Nein,X,Verzoegerte Werte (Lags),variabel,berechnet,Lag-Shift,,,ChatGPT-Dokument 1,setzt kontinuierliches SPS-Logging voraus,Nein,siehe CN026
