ID,Kategorie,Modell,Rolle,Parametername,Einheit,Erfassungsart,Methode,Formel_falls_berechnet,Plausibler_Wertebereich,Quelle,Datenverfuegbarkeit_UNICOR,Aufnahme_PoC,Begruendung_Entscheidung
XA011,Abgeleitete Groesse,A,X,Duesenaustrittsgeschwindigkeit vD,m/min,berechnet,Formel-abgeleitet,vD = m_dot / (rho * A_Duese),,ChatGPT-Dokument 2,abgeleitet aus XA002,Ja,Zwischengroesse fuer AZW-Berechnung
YA001,Qualitaet Geometrie,A,Y,Wandstaerke (mittel),mm,direkt gemessen,Ultraschall (Inline),,1.0-4.0,eigene Herleitung + NDT.net Wanddickenmessung,vermutlich nicht vorhanden als Messwert (nur Sollwert dokumentiert),Ja,Kern-Qualitaetsmerkmal
YA002,Qualitaet Geometrie,A,Y,Wandstaerken-Exzentrizitaet,mm,berechnet,Formel-abgeleitet (aus Ultraschall Umfangsmessung),,0-0.5,ChatGPT-Dokument 2,vermutlich nicht vorhanden,Bonus,"praezisere Groesse als reine Ovalitaet, aber zusaetzlicher Messaufwand"
YA003,Qualitaet Geometrie,A,Y,Aussendurchmesser,mm,direkt gemessen,Laser,,20-250,eigene Herleitung,vermutlich vorhanden (Stichprobenmessung),Ja,Kern-Qualitaetsmerkmal
YA004,Qualitaet Geometrie,A,Y,Ovalitaet,mm oder %,berechnet,Formel-abgeleitet (Dmax-Dmin),,0-5%,eigene Herleitung,vermutlich vorhanden,Ja,haeufigster genannter Fehlertyp
YA005,Qualitaet Geometrie,A,Y,Wellhoehe (Ist),mm,direkt gemessen,visuell/Lehre,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden (Gutteil-Pruefung),Ja,wellrohrspezifisches Qualitaetsmerkmal
YA006,Qualitaet Geometrie,A,Y,Wellteilung (Ist),mm,direkt gemessen,visuell/Lehre,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden,Ja,wellrohrspezifisches Qualitaetsmerkmal
YA007,Qualitaet Oberflaeche,A,Y,Oberflaechenfehler (Einfallstellen/Riefen),kategorisch/Score,direkt gemessen,visuell/Kamera,,IO/NIO oder Score 1-5,eigene Herleitung + ChatGPT-Dokument 1,vermutlich nur visuell durch Mitarbeiter dokumentiert,Ja,haeufig genannter Fehlertyp
YA008,Qualitaet Oberflaeche,A,Y,Bindenaehte sichtbar,kategorisch,direkt gemessen,visuell,,Ja/Nein,Websuche (roymaplast.com Duesenstroemung),vermutlich nur bei Reklamation dokumentiert,Ja,strukturell bedingter Fehlermechanismus (Dornstege)
YA009,Qualitaet Struktur,A,Y,Blasenbildung,kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,typischer Feuchtigkeits-/Prozessfehler
YA010,Qualitaet Struktur,A,Y,Risse/Spannungsrisse,kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,sicherheitsrelevanter Fehlertyp
YA011,Qualitaet Struktur,A,Y,Delamination (nur doppelwandig),kategorisch,direkt gemessen,visuell,,Ja/Nein,eigene Herleitung,vermutlich nur bei Reklamation dokumentiert,Ja,relevant fuer Wandtyp=doppelwandig
YA012,Qualitaet Gesamt,A,Y,IO/NIO Klassifikation,binaer,abgeleitet,aggregiert aus YA001-YA011 + Toleranzfenster,,IO/NIO,eigene Herleitung,muss aus Einzelmerkmalen abgeleitet werden,Ja,zentrale Zielgroesse fuer Modell-A-Filterfunktion
XB001,Auftragsvorgabe,B,X,Durchmesser (Soll),mm,direkt gemessen,Bestellangabe,,20-250,eigene Herleitung,vermutlich vorhanden (Auftragsdaten),Ja,Kern-Auftragsparameter
XB002,Auftragsvorgabe,B,X,Wandstaerke (Soll),mm,direkt gemessen,Bestellangabe,,1.0-4.0,eigene Herleitung,vermutlich vorhanden,Ja,Kern-Auftragsparameter
XB003,Auftragsvorgabe,B,X,Wellhoehe (Soll),mm,direkt gemessen,Bestellangabe/Norm,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden ueber Norm/Zeichnung,Ja,wellrohrspezifisch
XB004,Auftragsvorgabe,B,X,Wellteilung (Soll),mm,direkt gemessen,Bestellangabe/Norm,,abhaengig von DN,eigene Herleitung,vermutlich vorhanden,Ja,wellrohrspezifisch
XB005,Auftragsvorgabe,beide,X,Wandtyp,kategorisch,direkt gemessen,Bestellangabe,,einwandig/doppelwandig,eigene Herleitung + UNICOR Produktdaten,vermutlich vorhanden,Ja,"bestimmt Prozessfuehrung deutlich | NACHTRAEGLICH KORRIGIERT (Notebook 04): wandtyp gehoert auch zu X_A_MERKMALE, wurde bei Delamination-Sonderbehandlung (Notebook 04 Zelle 03) als fehlend erkannt und retroaktiv ergaenzt - Modell-Feld von B auf beide korrigiert."
XB006,Auftragsvorgabe,B,X,Material,kategorisch,direkt gemessen,Bestellangabe,,HDPE (Referenz),eigene Herleitung,vermutlich vorhanden,Ja,als Konstante fixiert (ein Material Annahme)
XB007,Auftragsvorgabe,B,X,MFR Charge,g/10min,direkt gemessen,Laborwert,,0.3-1.2,eigene Herleitung,unbekannt - zu klaeren,Ja,Chargenschwankung trotz gleichem Material
XB008,Auftragsvorgabe,B,X,Muffe,kategorisch,direkt gemessen,Bestellangabe,,Ja/Nein,eigene Herleitung,vermutlich vorhanden,Ja,beeinflusst Linienkonfiguration
XB009,Auftragsvorgabe,B,X,Farbe/Additiv,kategorisch,direkt gemessen,Bestellangabe,,Standard/Sonderfarbe,eigene Herleitung,vermutlich vorhanden,Ja,kann Fliessverhalten leicht beeinflussen
XB010,Auftragsvorgabe,B,X,Rezyklatanteil (Vorgabe),%,direkt gemessen,Bestellangabe,,0-30,eigene Herleitung,vermutlich vorhanden,Ja,"kundenspezifische Vorgabe, beeinflusst Prozessfuehrung"
XB011,Auftragsvorgabe,B,X,Anwendungsbereich,kategorisch,direkt gemessen,Bestellangabe,,Kabelschutz/Drainage/Automotive,eigene Herleitung,vermutlich vorhanden,Ja,indirekter Hinweis auf geforderte Ringsteifigkeit
XB012,Auftragsvorgabe,B,X,Ausstossmenge (Vorgabe),m/min oder kg,direkt gemessen,Bestellangabe,,variabel,eigene Herleitung,vermutlich vorhanden,Bonus,relevant fuer Bonus-Modell Durchsatzoptimierung
YB001,Empfohlene Einstellung,B,Y,Schneckendrehzahl,rpm,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,10-80,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB002,Empfohlene Einstellung,B,Y,Massedurchsatz,kg/h,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,5-150,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB003,Empfohlene Einstellung,B,Y,Massetemperatur,C,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,180-230,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB004,Empfohlene Einstellung,B,Y,Massedruck,bar,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,50-300,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB005,Empfohlene Einstellung,B,Y,Duesenspalt,mm,direkt gemessen (Experte),manuelle Messung/Feilung,,0.5-6,eigene Herleitung + Patent DE3816273C3,vermutlich vorhanden (grober Wert),Ja,zentrale Feinkorrektur-Stellgroesse laut Recherche
YB006,Empfohlene Einstellung,B,Y,Abzugsgeschwindigkeit,m/min,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,0.5-15,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert
YB007,Empfohlene Einstellung,B,Y,Kalibrierdruck (Formluft/Vakuum),"mbar (positiv=Formluft-Ueberdruck, negativ=Vakuum)",direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,"20 bis 400 (Formluft, DN<=200) / -900 bis -100 (Vakuum, DN>200)","Wikipedia Corrugator (Kunststoffverarbeitung) + DeWiki Corrugator - Mechanismus quellenbasiert, Betraege weiterhin Annahme",vermutlich vorhanden,Ja,"KORRIGIERT (Root-Cause-Fix): siehe XA007, gleiche Korrektur auf Modell-B-Zielgroesse uebertragen"
YB008,Empfohlene Einstellung,B,Y,Kuehlwassertemperatur,C,direkt gemessen (Experte),SPS-Sensor / Ruestprotokoll,,8-25,eigene Herleitung,vermutlich vorhanden,Ja,vom Experten gewaehlter Zielwert (evtl. eher Praeferenz als strenge Physik)
CN008,Maschinenparameter,Bonus,X,Schneckendrehmoment,% oder Nm,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Bonus,"interessant fuer Materialschaedigungs-Trade-off (Websuche extrusion-training.de), aber nicht Kern-PoC"
CN018,Prozessleistung,Bonus,Y,Durchsatz,kg/h,direkt gemessen,SPS-Sensor,,,ChatGPT-Dokument 1,vermutlich vorhanden,Bonus,fuer Bonus-Modell Durchsatzoptimierung vorgesehen
CN021,Energie,Bonus,Y,spezifischer Energieverbrauch,kWh/kg,berechnet,Formel-abgeleitet aus Motorleistung/Durchsatz,,,ChatGPT-Dokument 1,vermutlich nicht dokumentiert,Bonus,fuer Bonus-Modell Energieoptimierung vorgesehen
